source,metric,column,group_by,group,n,missing_rate
baseline_df,missing_rate_by_group,age,diabetes,3.0,3,0.0
baseline_df,missing_rate_by_group,age,diabetes,4.0,169,0.0
baseline_df,missing_rate_by_group,age,diabetes,5.0,15,0.0
baseline_df,missing_rate_by_group,age,diabetes,6.0,59,0.0
baseline_df,missing_rate_by_group,age,diabetes,nan,72,0.0
baseline_df,missing_rate_by_group,gender,diabetes,0.0,20695,0.0
baseline_df,missing_rate_by_group,gender,diabetes,1.0,8358,0.0
baseline_df,missing_rate_by_group,gender,diabetes,3.0,3,0.0
baseline_df,missing_rate_by_group,gender,diabetes,4.0,169,0.0
baseline_df,missing_rate_by_group,gender,diabetes,5.0,15,0.0
baseline_df,missing_rate_by_group,gender,diabetes,6.0,59,0.0
baseline_df,missing_rate_by_group,gender,diabetes,nan,72,0.0
baseline_df,missing_rate_by_group,edu_years,diabetes,0.0,20695,0.00033824595312877505
baseline_df,missing_rate_by_group,edu_years,diabetes,1.0,8358,0.00023929169657812874
baseline_df,missing_rate_by_group,edu_years,diabetes,3.0,3,0.0
baseline_df,missing_rate_by_group,edu_years,diabetes,4.0,169,0.0
baseline_df,missing_rate_by_group,edu_years,diabetes,5.0,15,0.0
baseline_df,missing_rate_by_group,edu_years,diabetes,6.0,59,0.0
baseline_df,missing_rate_by_group,edu_years,diabetes,nan,72,0.0
baseline_df,missing_rate_by_group,diabetes,diabetes,0.0,20695,0.0
baseline_df,missing_rate_by_group,diabetes,diabetes,1.0,8358,0.0
baseline_df,missing_rate_by_group,diabetes,diabetes,3.0,3,0.0
baseline_df,missing_rate_by_group,diabetes,diabetes,4.0,169,0.0
baseline_df,missing_rate_by_group,diabetes,diabetes,5.0,15,0.0
baseline_df,missing_rate_by_group,diabetes,diabetes,6.0,59,0.0
baseline_df,missing_rate_by_group,diabetes,diabetes,nan,72,1.0
baseline_df,missing_rate_by_group,adl_any,diabetes,0.0,20695,0.0019328340178787146
baseline_df,missing_rate_by_group,adl_any,diabetes,1.0,8358,0.0010768126346015793
